2023-11-18 15:12:49 - RAM: 32.6% used, Swap: 1.7% used
2023-11-18 15:12:51 - RAM: 33.0% used, Swap: 1.7% used
2023-11-18 15:12:53 - RAM: 30.4% used, Swap: 1.7% used
2023-11-18 15:12:55 - RAM: 31.0% used, Swap: 1.7% used
2023-11-18 15:12:57 - RAM: 34.6% used, Swap: 1.7% used
2023-11-18 15:12:59 - RAM: 31.8% used, Swap: 1.7% used
2023-11-18 15:13:01 - RAM: 30.7% used, Swap: 1.7% used
2023-11-18 15:13:03 - RAM: 29.7% used, Swap: 1.7% used
2023-11-18 15:13:05 - RAM: 31.0% used, Swap: 1.7% used
2023-11-18 15:13:07 - RAM: 37.9% used, Swap: 1.7% used
2023-11-18 15:13:09 - RAM: 30.4% used, Swap: 1.7% used
2023-11-18 15:13:11 - RAM: 37.6% used, Swap: 1.7% used
2023-11-18 15:13:13 - RAM: 35.8% used, Swap: 1.7% used
2023-11-18 15:13:15 - RAM: 33.0% used, Swap: 1.7% used
2023-11-18 15:13:17 - RAM: 34.1% used, Swap: 1.7% used
2023-11-18 15:13:19 - RAM: 32.4% used, Swap: 1.7% used
2023-11-18 15:13:21 - RAM: 29.9% used, Swap: 1.7% used
2023-11-18 15:13:23 - RAM: 34.8% used, Swap: 1.7% used
2023-11-18 15:13:25 - RAM: 31.5% used, Swap: 1.7% used
2023-11-18 15:13:27 - RAM: 32.6% used, Swap: 1.7% used
2023-11-18 15:13:29 - RAM: 30.8% used, Swap: 1.7% used
2023-11-18 15:13:31 - RAM: 31.3% used, Swap: 1.7% used
2023-11-18 15:13:33 - RAM: 28.2% used, Swap: 1.7% used
2023-11-18 15:13:35 - RAM: 29.1% used, Swap: 1.7% used
2023-11-18 15:13:37 - RAM: 27.6% used, Swap: 1.7% used
2023-11-18 15:13:39 - RAM: 20.5% used, Swap: 1.7% used
2023-11-18 15:13:41 - RAM: 20.5% used, Swap: 1.7% used
2023-11-18 15:13:43 - RAM: 17.9% used, Swap: 1.7% used
2023-11-18 15:13:45 - RAM: 18.0% used, Swap: 1.7% used
2023-11-18 15:13:47 - RAM: 17.9% used, Swap: 1.7% used
2023-11-18 15:13:49 - RAM: 17.9% used, Swap: 1.7% used
2023-11-18 15:13:51 - RAM: 18.7% used, Swap: 1.7% used
2023-11-18 15:13:53 - RAM: 21.8% used, Swap: 1.7% used
2023-11-18 15:13:55 - RAM: 24.1% used, Swap: 1.7% used
2023-11-18 15:13:57 - RAM: 25.9% used, Swap: 1.7% used
2023-11-18 15:13:59 - RAM: 26.2% used, Swap: 1.7% used
2023-11-18 15:14:01 - RAM: 30.9% used, Swap: 1.7% used
2023-11-18 15:14:03 - RAM: 34.8% used, Swap: 1.7% used
2023-11-18 15:14:05 - RAM: 42.1% used, Swap: 1.7% used
2023-11-18 15:14:07 - RAM: 51.8% used, Swap: 1.7% used
2023-11-18 15:14:09 - RAM: 63.4% used, Swap: 1.7% used
2023-11-18 15:14:11 - RAM: 59.2% used, Swap: 1.7% used
2023-11-18 15:14:13 - RAM: 60.3% used, Swap: 1.7% used
2023-11-18 15:14:15 - RAM: 61.4% used, Swap: 1.7% used
2023-11-18 15:14:17 - RAM: 64.1% used, Swap: 1.7% used
2023-11-18 15:14:19 - RAM: 39.5% used, Swap: 1.7% used
2023-11-18 15:14:21 - RAM: 32.5% used, Swap: 1.7% used
2023-11-18 15:14:23 - RAM: 35.7% used, Swap: 1.7% used
2023-11-18 15:14:25 - RAM: 36.3% used, Swap: 1.7% used
2023-11-18 15:14:27 - RAM: 36.9% used, Swap: 1.7% used
2023-11-18 15:14:29 - RAM: 28.2% used, Swap: 1.7% used
2023-11-18 15:14:31 - RAM: 28.4% used, Swap: 1.7% used
2023-11-18 15:14:33 - RAM: 41.9% used, Swap: 1.7% used
2023-11-18 15:14:35 - RAM: 44.2% used, Swap: 1.7% used
2023-11-18 15:14:37 - RAM: 48.9% used, Swap: 1.7% used
2023-11-18 15:14:39 - RAM: 57.2% used, Swap: 1.7% used
2023-11-18 15:14:41 - RAM: 60.4% used, Swap: 1.7% used
2023-11-18 15:14:43 - RAM: 61.4% used, Swap: 1.7% used
2023-11-18 15:14:45 - RAM: 50.6% used, Swap: 1.7% used
2023-11-18 15:14:47 - RAM: 38.1% used, Swap: 1.7% used
2023-11-18 15:14:49 - RAM: 38.4% used, Swap: 1.7% used
2023-11-18 15:14:51 - RAM: 25.2% used, Swap: 1.7% used
2023-11-18 15:14:53 - RAM: 28.4% used, Swap: 1.7% used
2023-11-18 15:14:55 - RAM: 25.4% used, Swap: 1.7% used
2023-11-18 15:14:57 - RAM: 26.0% used, Swap: 1.7% used
2023-11-18 15:14:59 - RAM: 25.1% used, Swap: 1.7% used
2023-11-18 15:15:01 - RAM: 25.1% used, Swap: 1.7% used
2023-11-18 15:15:03 - RAM: 25.2% used, Swap: 1.7% used
2023-11-18 15:15:05 - RAM: 25.4% used, Swap: 1.7% used
2023-11-18 15:15:07 - RAM: 25.5% used, Swap: 1.7% used
2023-11-18 15:15:09 - RAM: 31.9% used, Swap: 1.7% used
2023-11-18 15:15:11 - RAM: 34.8% used, Swap: 1.7% used
2023-11-18 15:15:13 - RAM: 37.2% used, Swap: 1.7% used
2023-11-18 15:15:15 - RAM: 38.4% used, Swap: 1.7% used
2023-11-18 15:15:17 - RAM: 38.8% used, Swap: 1.7% used
2023-11-18 15:15:19 - RAM: 39.4% used, Swap: 1.7% used
2023-11-18 15:15:21 - RAM: 28.4% used, Swap: 1.7% used
2023-11-18 15:15:23 - RAM: 27.7% used, Swap: 1.7% used
2023-11-18 15:15:25 - RAM: 28.4% used, Swap: 1.7% used
2023-11-18 15:15:27 - RAM: 28.8% used, Swap: 1.7% used
2023-11-18 15:15:29 - RAM: 35.4% used, Swap: 1.7% used
2023-11-18 15:15:31 - RAM: 47.2% used, Swap: 1.7% used
2023-11-18 15:15:33 - RAM: 45.5% used, Swap: 1.7% used
2023-11-18 15:15:35 - RAM: 52.8% used, Swap: 1.7% used
2023-11-18 15:15:37 - RAM: 62.9% used, Swap: 1.7% used
2023-11-18 15:15:39 - RAM: 69.0% used, Swap: 1.7% used
2023-11-18 15:15:41 - RAM: 71.6% used, Swap: 1.7% used
2023-11-18 15:15:43 - RAM: 68.6% used, Swap: 1.7% used
2023-11-18 15:15:45 - RAM: 69.6% used, Swap: 1.7% used
2023-11-18 15:15:47 - RAM: 72.7% used, Swap: 1.7% used
2023-11-18 15:15:49 - RAM: 55.4% used, Swap: 1.7% used
2023-11-18 15:15:51 - RAM: 56.2% used, Swap: 1.7% used
2023-11-18 15:15:53 - RAM: 58.5% used, Swap: 1.7% used
2023-11-18 15:15:55 - RAM: 51.2% used, Swap: 1.7% used
2023-11-18 15:15:57 - RAM: 37.8% used, Swap: 1.7% used
2023-11-18 15:15:59 - RAM: 38.0% used, Swap: 1.7% used
2023-11-18 15:16:01 - RAM: 38.5% used, Swap: 1.7% used
2023-11-18 15:16:03 - RAM: 38.3% used, Swap: 1.7% used
2023-11-18 15:16:05 - RAM: 28.2% used, Swap: 1.7% used
2023-11-18 15:16:07 - RAM: 37.3% used, Swap: 1.7% used
2023-11-18 15:16:09 - RAM: 39.7% used, Swap: 1.7% used
2023-11-18 15:16:11 - RAM: 44.8% used, Swap: 1.7% used
2023-11-18 15:16:13 - RAM: 50.9% used, Swap: 1.7% used
2023-11-18 15:16:15 - RAM: 55.7% used, Swap: 1.7% used
2023-11-18 15:16:17 - RAM: 56.4% used, Swap: 1.7% used
2023-11-18 15:16:19 - RAM: 57.2% used, Swap: 1.7% used
2023-11-18 15:16:21 - RAM: 57.9% used, Swap: 1.7% used
2023-11-18 15:16:23 - RAM: 59.6% used, Swap: 1.7% used
2023-11-18 15:16:25 - RAM: 41.4% used, Swap: 1.7% used
2023-11-18 15:16:27 - RAM: 42.0% used, Swap: 1.7% used
2023-11-18 15:16:29 - RAM: 25.7% used, Swap: 1.7% used
2023-11-18 15:16:31 - RAM: 25.7% used, Swap: 1.7% used
2023-11-18 15:16:33 - RAM: 26.1% used, Swap: 1.7% used
2023-11-18 15:16:35 - RAM: 31.4% used, Swap: 1.7% used
2023-11-18 15:16:37 - RAM: 34.5% used, Swap: 1.7% used
2023-11-18 15:16:39 - RAM: 35.5% used, Swap: 1.7% used
2023-11-18 15:16:41 - RAM: 39.4% used, Swap: 1.7% used
2023-11-18 15:16:43 - RAM: 42.9% used, Swap: 1.7% used
2023-11-18 15:16:45 - RAM: 33.3% used, Swap: 1.7% used
2023-11-18 15:16:47 - RAM: 33.7% used, Swap: 1.7% used
2023-11-18 15:16:49 - RAM: 24.9% used, Swap: 1.7% used
2023-11-18 15:16:51 - RAM: 25.0% used, Swap: 1.7% used
2023-11-18 15:16:53 - RAM: 25.1% used, Swap: 1.7% used
2023-11-18 15:16:55 - RAM: 25.2% used, Swap: 1.7% used
2023-11-18 15:16:57 - RAM: 30.6% used, Swap: 1.7% used
2023-11-18 15:16:59 - RAM: 33.1% used, Swap: 1.7% used
2023-11-18 15:17:01 - RAM: 38.8% used, Swap: 1.7% used
2023-11-18 15:17:03 - RAM: 42.9% used, Swap: 1.7% used
2023-11-18 15:17:05 - RAM: 43.7% used, Swap: 1.7% used
2023-11-18 15:17:07 - RAM: 44.8% used, Swap: 1.7% used
2023-11-18 15:17:09 - RAM: 33.4% used, Swap: 1.7% used
2023-11-18 15:17:11 - RAM: 30.8% used, Swap: 1.7% used
2023-11-18 15:17:13 - RAM: 33.3% used, Swap: 1.7% used
