2023-11-14 14:26:50 - RAM: 18.9% used, Swap: 0.7% used
2023-11-14 14:27:00 - RAM: 18.9% used, Swap: 0.7% used
2023-11-14 14:27:10 - RAM: 18.9% used, Swap: 0.7% used
2023-11-14 14:27:20 - RAM: 18.9% used, Swap: 0.7% used
2023-11-14 14:27:30 - RAM: 18.9% used, Swap: 0.7% used
2023-11-14 14:27:40 - RAM: 19.0% used, Swap: 0.7% used
2023-11-14 14:27:50 - RAM: 19.1% used, Swap: 0.7% used
2023-11-14 14:28:00 - RAM: 19.1% used, Swap: 0.7% used
2023-11-14 14:28:10 - RAM: 19.0% used, Swap: 0.7% used
2023-11-14 14:28:20 - RAM: 19.0% used, Swap: 0.7% used
2023-11-14 14:28:30 - RAM: 19.0% used, Swap: 0.7% used
2023-11-14 14:28:40 - RAM: 19.1% used, Swap: 0.7% used
2023-11-14 14:28:50 - RAM: 19.1% used, Swap: 0.7% used
2023-11-14 14:29:00 - RAM: 19.1% used, Swap: 0.7% used
2023-11-14 14:29:10 - RAM: 19.2% used, Swap: 0.7% used
2023-11-14 14:29:20 - RAM: 19.3% used, Swap: 0.7% used
2023-11-14 14:29:30 - RAM: 19.3% used, Swap: 0.7% used
2023-11-14 14:29:40 - RAM: 19.3% used, Swap: 0.7% used
2023-11-14 14:29:50 - RAM: 19.3% used, Swap: 0.7% used
2023-11-14 14:30:00 - RAM: 19.3% used, Swap: 0.7% used
2023-11-14 14:30:10 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:30:20 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:30:30 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:30:40 - RAM: 19.5% used, Swap: 0.7% used
2023-11-14 14:30:50 - RAM: 19.5% used, Swap: 0.7% used
2023-11-14 14:31:00 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:31:10 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:31:20 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:31:30 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:31:40 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:31:50 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:32:00 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:32:10 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:32:20 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:32:30 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:32:40 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:32:50 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:33:00 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:33:10 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:33:20 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:33:30 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:33:40 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:33:50 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:34:00 - RAM: 19.5% used, Swap: 0.7% used
2023-11-14 14:34:10 - RAM: 19.5% used, Swap: 0.7% used
2023-11-14 14:34:20 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:34:30 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:34:40 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:34:50 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:35:00 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:35:10 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:35:20 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:35:30 - RAM: 19.5% used, Swap: 0.7% used
2023-11-14 14:35:40 - RAM: 19.5% used, Swap: 0.7% used
2023-11-14 14:35:50 - RAM: 19.5% used, Swap: 0.7% used
2023-11-14 14:36:00 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:36:10 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:36:20 - RAM: 19.5% used, Swap: 0.7% used
2023-11-14 14:36:30 - RAM: 19.5% used, Swap: 0.7% used
2023-11-14 14:36:40 - RAM: 19.5% used, Swap: 0.7% used
2023-11-14 14:36:50 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:37:00 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:37:10 - RAM: 19.5% used, Swap: 0.7% used
2023-11-14 14:37:20 - RAM: 19.5% used, Swap: 0.7% used
2023-11-14 14:37:30 - RAM: 19.4% used, Swap: 0.7% used
2023-11-14 14:37:40 - RAM: 19.5% used, Swap: 0.7% used
2023-11-14 14:37:50 - RAM: 19.5% used, Swap: 0.7% used
2023-11-14 14:38:00 - RAM: 19.6% used, Swap: 0.7% used
2023-11-14 14:38:10 - RAM: 19.6% used, Swap: 0.7% used
2023-11-14 14:38:20 - RAM: 19.6% used, Swap: 0.7% used
2023-11-14 14:38:30 - RAM: 19.6% used, Swap: 0.7% used
2023-11-14 14:38:40 - RAM: 19.6% used, Swap: 0.7% used
2023-11-14 14:38:50 - RAM: 19.6% used, Swap: 0.7% used
2023-11-14 14:39:00 - RAM: 19.6% used, Swap: 0.7% used
2023-11-14 14:39:10 - RAM: 19.6% used, Swap: 0.7% used
2023-11-14 14:39:20 - RAM: 19.6% used, Swap: 0.7% used
2023-11-14 14:39:30 - RAM: 19.6% used, Swap: 0.7% used
2023-11-14 14:39:40 - RAM: 19.7% used, Swap: 0.7% used
2023-11-14 14:39:50 - RAM: 19.7% used, Swap: 0.7% used
2023-11-14 14:40:00 - RAM: 19.5% used, Swap: 0.7% used
2023-11-14 14:40:10 - RAM: 19.6% used, Swap: 0.7% used
2023-11-14 14:40:20 - RAM: 19.6% used, Swap: 0.7% used
2023-11-14 14:40:30 - RAM: 19.6% used, Swap: 0.7% used
2023-11-14 14:40:40 - RAM: 19.6% used, Swap: 0.7% used
2023-11-14 14:40:50 - RAM: 19.6% used, Swap: 0.7% used
2023-11-14 14:41:00 - RAM: 19.6% used, Swap: 0.7% used
2023-11-14 14:41:10 - RAM: 19.6% used, Swap: 0.7% used
